,subject,grade,season,number,teacher
337,プログラミング基礎,１年次,後期,1DCB03A0,ミズタニヤスハル
338,ディジタル回路,１年次,後期,1DCB07A0,ツカモトカツトシ
339,情報処理基礎,１年次,後期集中,1DCB08A0,ヤストメセイゴ
340,Ｕｎｉｘ入門【前期前半】,１年次,前期（前半）,1DCB19A0,シマノアキツグ
341,コンピュータリテラシー,１年次,前期,1DCB26A0,トヨウラヨシヒロ
342,コンピュータリテラシー,１年次,前期,1DCB26B0,トヨウラヨシヒロ
343,ディジタル信号処理,２年次,前期,1DCB28A0,オオシマカズヨシ
344,プログラミングリテラシー（入門）【前期後半】,１年次,前期（後半）,1DCB29A0,スギカワサトシ
345,プログラミングリテラシー（読解）【後期後半】,１年次,後期（後半）,1DCB30A0,スギカワサトシ
346,データ構造とアルゴリズムⅡ,３年次,前期,1DCD03A0,ヤストメセイゴ
347,システムプログラム,３年次,前期,1DCD05A0,ニシグチサトシ
348,Ｕｎｉｘ入門,１年次,前期,1DCD07A0,シマノアキツグ
349,構造化文書処理,３年次,後期,1DCE05A0,サカザワシゲユキ
350,ヒューマンインタフェース,３年次,前期,1DCE06A0,コウダトモコ
351,Webサイト制作,２年次,前期,1DCF03A0,ヤマウチユキジ
352,モバイルコミュニケーション,３年次,前期,1DCF05A0,ツカモトカツトシ
353,サーバ構築管理,３年次,後期,1DCF07A0,シマノアキツグ
354,光情報通信システム,３年次,後期,1DCF08A0,ツカモトカツトシ
355,メディア通信概論,４年次,後期,1DCF10A0,ツカモトカツトシ
356,アドバンスト　ネットワーキング,３年次,後期,1DCF11A0,シマノアキツグ
357,キャリアデザインⅠ,２年次,前期,1DCG02A0,オオシマカズヨシ
358,キャリアデザインⅡ,２年次,後期,1DCG03A0,クロカワナオヒコ
359,オペレーションズ・リサーチ,３年次,前期,1DCG04A0,シイハラマサツグ
360,モデリングとシミュレーション,３年次,後期,1DCG09A0,ヒラシマヨウイチ
361,コンピュータリテラシー,１年次,前期,1DCH02A0,トヨウラヨシヒロ
362,コンピュータリテラシー,１年次,前期,1DCH02B0,トヨウラヨシヒロ
363,Webサイト制作,３年次,前期,1DCL17A0,ヤマウチユキジ
364,モバイルコミュニケーション,３年次,前期,1DCL18A0,ツカモトカツトシ
365,サーバ構築管理,３年次,後期,1DCL25A0,シマノアキツグ
366,データ構造とアルゴリズムⅡ,３年次,前期,1DCM12A0,ヤストメセイゴ
367,システムプログラム,２年次,前期,1DCM13A0,ニシグチサトシ
368,ヒューマンインタフェース,３年次,前期,1DCM18A0,コウダトモコ
369,メディア通信概論,３年次,後期,1DCM19A0,ツカモトカツトシ
370,オペレーションズ・リサーチ,３年次,前期,1DCM20A0,シイハラマサツグ
